Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,AYI,ADBE,AMD,AAP,AES,AET,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,APC,ADI,ANDV,ANSS,ANTM,AON,AOS,APA,AIV,AAPL,AMAT,APTV,ADM,ARNC,AJG,AIZ,T,ADSK,ADP,AZO,AVB,AVY,BHGE,BLL,BAC,BK,BAX,BBT,BDX,BRK.B,BBY,BIIB,BLK,HRB,BA,BKNG,BWA,BXP,BSX,BHF,BMY,AVGO,BF.B,CHRW,CA,COG,CDNS,CPB,COF,CAH,KMX,CCL,CAT,CBOE,CBRE,CBS,CELG
2015-01-15,146.16137700000004,40.852753,55.998493,37.110001,81.306198,18.010145,147.425934,70.290001,2.52,147.180481,11.287037,87.49481999999998,192.788757,26.215643,36.787689,117.199753,58.630001,58.139084,55.061413,86.052429,172.869995,59.630001,52.505741,257.918427,275.084229,28.836699,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004,146.16137700000004
2015-01-16,148.30351299999995,41.354694,57.467693,37.919998,81.970169,19.660671,149.309158,71.730003,2.39,149.149231,11.519674,89.486397,193.800491,26.59041,37.01997,117.409859,59.220001,58.971405,55.478542,87.362404,180.440002,56.919998,52.086086,262.719849,284.82254,29.37697,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995,148.30351299999995
2015-01-20,148.248611,41.103725,56.497135,37.869999,81.721184,19.631542,148.674774,71.489998,2.24,151.794144,11.278426,88.925659,196.180954,26.512714000000006,36.71027,118.813286,59.650002,61.099483,54.795959,86.305382,183.059998,56.240002,51.520039,263.062164,288.491669,29.364302,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611,148.248611
2015-01-21,148.797867,40.955009,55.82931899999999,37.810001,81.462967,19.515036,148.654953,71.540001,2.45,152.48023999999995,11.3732,91.594017,200.783203,26.553846000000004,36.93287700000001,120.258743,60.27,61.458897,55.563858,86.69386300000002,179.259995,55.900002,51.646912,269.672638,290.104889,29.57535,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867,148.797867
2015-01-22,151.864655,41.354694,56.07863199999999,38.939999,82.532684,19.990776,149.319061,73.480003,2.47,155.65211499999995,11.13195,92.918526,208.876831,27.033735,38.374958,121.284027,60.639999,64.258507,56.455006,88.681435,180.320007,58.009998,53.05226500000001,271.863098,289.622894,29.5669,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655,151.864655
2015-01-23,150.152756,40.76909600000001,55.588909,39.48,82.274467,20.049028,150.52829,74.059998,2.45,154.896469,10.925164,91.342644,204.859756,26.841784000000004,37.561974,120.561256,61.02,64.93002299999999,53.885857,88.89825400000002,183.320007,57.459999,53.169388,272.94860800000004,293.665771,29.630219,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756,150.152756
2015-01-26,150.354172,41.038658,55.945076,39.57,82.14537,20.2335,152.728653,72.739998,2.61,158.326859,10.968244,91.110611,208.539597,26.974319,37.891033,120.241936,61.169998,66.623032,54.170261,90.425064,182.759995,58.200001,52.613094,278.718109,295.741302,29.617559000000004,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172,150.354172
2015-01-27,149.795746,40.601776,56.185486,38.630001,79.452698,19.874266,151.93573,71.459999,2.7,158.12799099999995,10.968244,90.588539,203.183517,26.741234,37.503899,119.208237,60.290001,65.923126,53.440285,89.702316,180.360001,58.75,52.505741,274.0047,289.9376529999999,29.554241,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746,149.795746
2015-01-28,150.079498,40.350807,55.072456,49.939999,77.79280899999998,20.068447,150.339935,70.25,2.63,158.396469,10.614986,89.612091,203.937317,26.215643,36.778019,116.670303,58.990002,64.977303,52.49226,89.395126,177.779999,58.57,53.042511,267.824463,285.363586,29.674313,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498,150.079498
2015-01-29,152.084381,42.070438,56.203293,52.25,78.973167,20.14612,150.57783500000005,71.639999,2.61,159.35105900000005,10.71838,90.501526,203.441406,26.348179,37.223225,123.527817,59.950001,67.218887,45.287254,89.729424,188.050003,58.669998,53.47193100000001,267.208405,288.147369,30.154589,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381,152.084381
